ID,Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
CAT001,Catering Corporativo,Eurest (Compass Group España) - Eurest Catalunya SL,"Calle Frederic Mompou, Ed. Euro 3, núm. 5",Sant Just Desvern (Barcelona),+34 934 702 980,info@compass-group.es,https://compass-group.es/,"Líder nacional restauración colectiva (oficinas, industria, escuelas, hospitales, residencias). Sede catalana en Sant Just Desvern. Compras centralizadas - alta probabilidad de tender cerrado nacional. NO hay portal público de alta de proveedores accesible; contactar por web/teléfono y pedir hablar con Dpto. Compras. Posee certificaciones ISO 9001, ISO 14001, ISO 22000 (HACCP). Requerirá: RGSEAA, HACCP, EAN/GTIN por SKU, ficha técnica, fichas alergenos UE-1169/2011, fichas seguridad transporte, cuentas anuales últimos 2 años, seguro RC.",3,einforma + compass-group.es
CAT002,Catering Corporativo,Serunion (Grupo Elior España) - Sede Cataluña,"Carretera d'Esplugues, 225",Cornellà de Llobregat (Barcelona),+34 932 289 555,serunion@serunion.elior.com,https://www.serunion.es/,"Líder restauración colectiva en España (+30 años); sede social en Cornellà. Procesos de compra centralizados a nivel grupo Elior. Sin portal abierto de alta de proveedores - tenders cerrados. Email genérico. Tier 1 - difícil entrada para nuevos. Requerirá: RGSEAA, HACCP, certificación BRC o IFS, ficha técnica completa, EAN, capacidad mínima producción semanal, seguro RC ≥ 1M EUR, ESG/CSR formularios.",3,einforma + serunion.es
CAT003,Catering Corporativo,Aramark Servicios Integrales SA,"Calle Aribau, 195, planta 5",Barcelona,+34 932 402 141,inforecepcion@aramark.es,https://www.aramark.es/,"Multinacional USA presente en Cataluña vía oficina BCN; servicios catering corporativo, hospitalario, educación. Compras centralizadas vía Aramark Iberia (Madrid). Email genérico recepción - pedir derivar a Compras / Procurement. Sin portal público proveedores. Requerirá: ISO 9001/14001/22000, HACCP, RGSEAA, fichas técnicas, código de conducta proveedores Aramark, auditorías de planta opcionales.",3,empresite + aramark.es
CAT004,Catering Corporativo,Sodexo Iberia SA - Delegación Cataluña,"Via Trajana 25-35, bajos",Sant Adrià de Besòs (Barcelona),+34 932 782 205,contacto.es@sodexo.com,https://es.sodexo.com/,"Sede principal en Madrid; en Cataluña operación + delegación Viladecans (+34 936 352 200). Servicios: empresas, universidades, hospitales, residencias, deporte/cultura. Sodexo tiene portal global 'Supplier Relations' (sodexo.com/suppliers). Compras centralizadas. Requerirá: registro en portal proveedores Sodexo, ISO 22000/HACCP, RGSEAA, código ético Sodexo Supplier Code of Conduct, fichas técnicas, EAN, certificaciones sostenibilidad valoradas (MSC, RSPO, Fair Trade).",3,einforma + sodexo.es
CAT005,Catering Corporativo,ISS Facility Services SAU - Cataluña HQ,"C/ Francesc Vinyes, 7",Sant Cugat del Vallès (Barcelona),+34 935 902 100,info@es.issworld.com,https://www.es.issworld.com/,"Multinacional danesa de FM; cocinas en oficinas, industria, salud. Compras a nivel ISS Iberia. Segunda oficina BCN: Via Laietana 32. Sin portal público específico para alta de proveedores food - integrado en supplier registration global ISS. Requerirá: ISO 9001/14001/45001/22000, HACCP, código de conducta proveedores ISS, fichas técnicas, capacidad logística multi-centro.",3,einforma + issworld.com
CAT006,Catering Corporativo,Mediterránea Group - Mediterránea de Catering SL,"C/ Arroyo del Soto, 17",Leganés (Madrid) - operación nacional incluida Cataluña,+34 916 404 745,recepcion@mediterranea-catering.es,https://www.mediterranea-group.com/,"Sede social Madrid pero opera hospitales, residencias, empresas y centros educativos en toda España incluida Cataluña. Discurso oficial: 'productos de primera calidad de proximidad, proveedores homologados'. Mercado más accesible que los tier-1 globales (más PYMEs). Email recepción - pedir Dpto. Compras / Homologación. Requerirá: RGSEAA, HACCP, ISO 22000 deseable, fichas técnicas, EAN, muestras, auditoría planta posible, formulario homologación interno.",3,mediterranea-group.com + alimarket
CAT007,Catering Eventos,Newrest Servair SL - Newrest Barcelona,"C/ Conca de Barberà, 8-14, Polígono Mas Blau II",El Prat de Llobregat (Barcelona),+34 934 792 950,bcn.viporders@newrest.eu,https://www.newrest.eu/unit/barcelona/,"Cocina central inflight + tren + business aviation; 9.850 m², 20.000 menús/día desde 1991. Vector relevante: pan plano para wraps de aerolíneas low-cost (buy-on-board). Sin portal público proveedores - contactar a través de formulario web Newrest Group. Requerirá: HACCP/ISO 22000 estrictos por entorno aéreo, RGSEAA, fichas técnicas, vida útil prolongada (shelf-life crítico), certificación allergens UE-1169, EAN, capacidad volumen alto.",4,newrest.eu + paginasamarillas
CAT008,Catering Corporativo,GastroFira (Fira Barcelona) - Catering oficial recintos,"Av. Reina Maria Cristina, s/n (Recinte Montjuïc) + Av. Joan Carles I 64 (Gran Via, L'Hospitalet)",L'Hospitalet de Llobregat / Barcelona,+34 932 332 000,gastrofira@firabarcelona.com,https://www.gastrofira.com/,"Servicio oficial de catering Fira Barcelona; 40+ outlets en Gran Via, 6 en Montjuïc. Atiende ferias internacionales (MWC, ISE, Alimentaria, Smart City). Compras gestionadas por Fira Barcelona. Sin portal específico food proveedores; alta vía formulario contacto + presentación comercial. Volumen alto pero estacional según calendario ferias. Requerirá: RGSEAA, HACCP, fichas técnicas, EAN, fiabilidad logística (entregas precisas durante ferias), capacidad para grandes pedidos puntuales.",4,gastrofira.com + firabarcelona.com
CAT009,Catering Eventos,Moncho's Catering,"Travessera de Gràcia 44-46",Barcelona,+34 934 155 665,catering@monchos.es,https://monchoscatering.com/,"50 años en catering ferias y congresos en Barcelona; +70.000 personas/año. Trabaja MWC, ISE, Alimentaria, Seafood Expo. PYME catalana - decisión de compra más ágil que las multinacionales. Excelente fit para introducir lavash en coffee breaks, networking cocktails, finger food. Contacto directo por email comercial. Requerirá: RGSEAA, HACCP, fichas técnicas, EAN, muestras de degustación, capacidad respuesta para eventos puntuales.",5,monchoscatering.com + barcelonaconventionbureau.com
CAT010,Catering Eventos,21 de Marzo Catering Studio,"C/ Cobalto, 153",L'Hospitalet de Llobregat (Barcelona),+34 933 385 492,hola@21demarzo.com,https://21demarzo.com/,"Catering boutique de eventos y bodas en Barcelona (desde 2010); también opera en Fira Montjuïc. Línea plant-based y conceptual - alto fit para lavash artesano, productos diferenciados. PYME, decisión rápida. Email comercial directo a fundadores. Requerirá: RGSEAA, HACCP, ficha técnica, EAN, muestras, posiblemente historia/storytelling del producto.",5,21demarzo.com
CAT011,Catering Eventos,Singularis Catering,"Avda. Josep Tarradellas, 34, 7a planta",Barcelona,+34 934 904 144,info@singulariscatering.com,https://singulariscatering.com/,"Catering corporativo y de espacios singulares: Teatre Nacional de Catalunya, Liceu, FC Barcelona, Girona FC (VIP Hospitality), Auditori, MNAC, World Trade Center. Volumen alto y prestigio premium. PYME mediana - decisión más accesible que tier-1. Requerirá: RGSEAA, HACCP, fichas técnicas, EAN, muestras, capacidad estética/presentación cuidada del producto.",5,singulariscatering.com + eventoplus.com
CAT012,Catering Eventos,Grup Soteras - Soteras Catering SL,"Passeig de la Marina, 212",Castelldefels (Barcelona),+34 936 651 900,comercial@grup-soteras.com,https://www.grup-soteras.com/,"Grupo hotelero + catering en Castelldefels. Eventos empresa, congresos, comedores universitarios y escolares, formaciones, viajes incentivo. Email comercial directo. PYME catalana familiar - alta probabilidad de respuesta a propuesta artesanal. Requerirá: RGSEAA, HACCP, ficha técnica, EAN, muestras, posiblemente referencias locales.",5,grup-soteras.com
CAT013,Catering Eventos,Casanovas Catering & Espai Gastronomic SL,"Diputació, 80 (sede); puntos de cata: Calàbria 113, Via Augusta 269",Barcelona,+34 934 236 508,catering@casanovascatering.com,https://www.casanovascatering.com/,"Catering tradicional barcelonés con espacio gastronómico propio. Eventos corporate, bodas, grupos. PYME - acceso directo a fundadores. Filial cocina central en Martorell (+34 937 752 828, sonia@cateringcasanovas.com). Requerirá: RGSEAA, HACCP, fichas técnicas, EAN, muestras, fiabilidad entregas.",4,casanovascatering.com + empresite
CAT014,Catering Eventos,Sibaris Catering SL,"Avda. Corts Catalanes, 5-7, Nave 5",Sant Cugat del Vallès (Barcelona),+34 936 754 051,sibaris@sibariscatering.com,https://www.sibariscatering.com/,"Catering medio-alto BCN área metropolitana, eventos corporate y privados. PYME, accesible. Email comercial directo. Requerirá: RGSEAA, HACCP, ficha técnica, EAN, muestras.",4,einforma + sibariscatering.com
CAT015,Catering Local Girona,Mas Salvi Country Boutique Hotel - Eventos y Catering,"Carmany s/n",Pals (Girona),+34 972 636 478,info@massalvi.com,https://www.massalvi.com/,"Hotel boutique + restaurante + espacio bodas y eventos (hasta 200 pax cocktail / 150 banquete) en Baix Empordà. Catering propio con cocina ejecutiva. Cercanía a Llloret - logística óptima (40 min). PYME, decisión directa con dirección. Menús desde 120 EUR/comensal - segmento premium. Requerirá: RGSEAA, ficha técnica, posibles muestras presentación, fiabilidad estacional alta temporada.",5,massalvi.com
CAT016,Catering Local Girona,Mas Marroch (El Celler de Can Roca - Roca Events),"Pla del Marroc, 6",Vilablareix (Girona),+34 972 394 234,restaurant@espaimasmarroch.com,https://www.cellercanroca.com/universo-roca/mas-marroch/,"Espacio de eventos icónico de los hermanos Roca (Celler de Can Roca - 3 estrellas Michelin). Banquetes, bodas, eventos corporate de alto perfil. Cocina ejecutiva propia. Una sola referencia aquí abre puertas a todo el universo Roca (Can Roca, Rocambolesc, Normal). Solicitar reunión con dirección + jefe cocina. Producto debe ser exquisito - storytelling artesanal de Lloret. Requerirá: producto excepcional, RGSEAA, HACCP, ficha técnica, capacidad reservada de Elena.",5,cellercanroca.com + costabravagironacb.com
CAT017,Catering Local Girona,Aroma Catering,"C/ Granada, 3",Sant Feliu de Guíxols (Girona),+34 972 323 610,info@aroma-catering.com,https://www.aroma-catering.com/,"Catering bodas + eventos empresa Costa Brava y Baix Empordà; cercanía directa a Lloret (15-20 km). PYME local con presencia activa en Instagram (@aromacatering.girona). ALTÍSIMO fit: cliente local, decisión rápida, mercado bodas Costa Brava donde el lavash artesano como guarnición / wraps de cocktail es novedad. Requerirá: ficha técnica, RGSEAA, muestras presentación, condiciones de pedido escalable.",5,aroma-catering.com + catering-costabrava.com
CAT018,Catering Local Girona,Catering Vilanova SL,"Carrer de l'Illa de Fuerteventura, 3",Girona,+34 972 228 383,info@cateringvilanova.com,https://cateringvilanova.com/,"Catering Girona capital, +35 años trayectoria; eventos empresa, comuniones, bodas. PYME catalana con horario L-V 8:00-16:00. Decisión directa con dirección. Fit alto para introducir como referencia local Costa Brava. Requerirá: ficha técnica, RGSEAA, posibles muestras, EAN.",5,einforma + cateringvilanova.com
CAT019,Catering Local Girona,Móngourmet (delicatessen + catering Restaurant Massana),"Carrer Abeuradors, 2",Girona,+34 972 411 660,info@mongourmet.cat,https://mongourmet.cat/,"Delicatessen gourmet + servicio catering avalado por Restaurant Massana (1 estrella Michelin de Girona). Venta retail gourmet (queso, embutido, productos selección) + catering eventos pequeños. Doble canal: producto en tienda + ingrediente catering. PYME premium accesible. Requerirá: posicionamiento premium claro, RGSEAA, ficha técnica, packaging cuidado, capacidad de producción ajustada (no industrial).",5,mongourmet.cat + paginasamarillas
