ID,Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
BSR001,Catering Escolar,Serunion (Grupo Elior),"Av. Diagonal 640, Edificio Cornerstone",Barcelona,902 360 030,nutricion360@serunion.elior.com,https://www.serunion.es,"Líder nacional: 1.600 colegios, 250.000 menús/día. Trabajan con proveedores locales y regionales. Acceso típicamente vía licitaciones públicas Generalitat. Sin portal abierto de alta de proveedor; contactar por nutricion360 o vía centralita corporativa Elior.",3,serunion.es
BSR002,Catering Escolar,Eurest / Scolarest (Compass Group España),"Calle Frederic Mompou, 5, Sant Just Desvern",Barcelona,915 425 339,info@compass-group.es,https://compass-group.es,"Compass Group con dos marcas relevantes: Eurest (empresas) y Scolarest (educación). Eurest Catalunya gestiona colectividades en la región. Tienen Código de Conducta de Proveedores publicado pero alta vía contacto comercial central.",3,compass-group.es
BSR003,Catering Escolar/Hospitalario,Mediterránea Group (Mediterránea de Catering),"Arroyo del Soto 17",Madrid,916 404 745,info@mediterranea-group.com,https://www.mediterranea-group.com,"Especializada en hospitales, residencias y educación. Más de 30 años. Tienen división Health Division para hospitales. Para incidencias colegios: 662 865 210. Contacto comercial vía formulario web.",3,mediterranea-group.com
BSR004,Catering Hospitalario/Escolar,ARCASA (Catering Arcasa S.L.),"C/ Gaspar Fábregas 81, 3ª planta, Edificio Il.lumina, 08950 Esplugues de Llobregat",Esplugues de Llobregat (Barcelona),935 148 980,info@arcasa.es,https://www.arcasa.es,"Líder catalán en restauración hospitalaria. 60 puntos de servicio, 60.000 menús/día. Adquirieron COMBI en 2018 para reforzar escolar. Contacto vía web; proveedor habitual de la red sanitaria catalana.",3,arcasa.es
BSR005,Catering Escolar/Hospitalario,Aramark Servicios de Catering SLU,"Calle Aribau 195, planta 5",Barcelona,932 402 141,inforecepcion@aramark.es,https://www.aramark.es,"Multinacional. 350.000 personas/día en >1.000 instalaciones España. Sectores: educación K-12, salud, empresas. Contacto comercial vía recepción central Barcelona.",3,aramark.es
BSR006,Catering Escolar,CATASA Catering Catalunya S.L.,"Centro logístico Barcelona (consultar web)",Barcelona,—,info@catasa.es,https://catasa.es,"Adjudicataria habitual en licitaciones Generalitat (Departament d'Educació). Catering para colegios en Madrid y Cataluña. Acceso vía contacto comercial web.",3,catasa.es / gobierto.es
BSR007,Catering Escolar,Catering Cantábrico (cantabrico.cat),"Polígono industrial — consultar",Barcelona,—,info@cantabrico.cat,https://cantabrico.cat/es/,"Empresa de comedor escolar en Barcelona y área metropolitana. Listada entre las 5 principales de BCN. Contacto comercial vía formulario web.",3,cantabrico.cat
BSR008,Catering Escolar,Gumen Catering,"Barcelona",Barcelona,—,info@gumencatering.com,https://gumencatering.com,"Catering específico para escuelas Barcelona. Contacto vía formulario web.",3,gumencatering.com
BSR009,Catering Escolar,Catering Alcalá (Barcelona),"Barcelona",Barcelona,—,info@cateringalcala.com,https://www.cateringalcala.com,"Especializado en colegios y colectividades en BCN. Contacto vía web.",3,cateringalcala.com
BSR010,Mercado Municipal,Mercat Municipal de Lloret de Mar,"Carrer dels Indians (edificio rehabilitado 2024-2025)",Lloret de Mar (Girona),972 361 800,comerc@lloret.cat,https://www.lloret.cat/ca/seccions/comerc/mercat-municipal,"Mercado fijo del pueblo. Reformado y reabierto. Para alquiler de parada o paradista nuevo: Departament de Comerç Ajuntament 972 361 912. Hay además mercat setmanal (semanal) en plaza. Posibilidad real de paradista propia para lavash fresco o partnership con paradista de embutidos/deli existente.",5,lloret.cat
BSR011,Mercado Semanal,Mercat Setmanal de Lloret de Mar,"Plaça (consultar Ajuntament)",Lloret de Mar (Girona),972 361 912,comerc@lloret.cat,https://www.lloret.cat/ca/seccions/comerc/mercat-municipal-set,"Mercadillo semanal — gestionado por Departament de Comerç del Ajuntament de Lloret. Las autorizaciones de paradista no sedentari se otorgan por concurso/convocatoria. Vía rápida: contactar comerc@lloret.cat.",5,lloret.cat
BSR012,Mercado Municipal,Mercat Municipal d'Abastos de Blanes,"Carrer de Mas Enlaire",Blanes (Girona),972 379 300,ajuntament@blanes.net,https://www.blanes.cat,"Mercado fijo de Blanes. Administración a través del Ajuntament. Bueno por proximidad (15 min de Lloret). Posible partnership con paradistas de carnicería/charcutería.",5,blanes.cat / metrae.es
BSR013,Mercado Municipal,Mercat del Lleó (Girona),"Plaça Francesc Calvet i Rubalcaba",Girona,972 419 010,info@mercatlleo.cat,https://www.mercatlleo.cat,"Mercado principal de Girona. 60 paradas: 11 carnicerías, 10 frutas-verduras, 9 pescado, 7 aves/caza, 5 platos cocinados, 15 otros. Excelente para partnership con paradistas de embutidos/charcutería o tienda gourmet. Solicitud de parada vía Ajuntament Girona Comerç.",5,mercatlleo.cat
